I1,I2,I0,Fault_Type
0.9507470680618598,0.01724575959656843,0.010674082268390834,Nominal
0.9538733272959139,0.9434408979619885,1.1759067809543586,SLG
0.9995789191056347,0.9935345008052302,0.09733439385789351,LL
0.9545591652616803,0.5001943015569743,0.3451209992798079,Open_Conductor
0.962019894608841,0.8366372461521194,0.9405073980484382,SLG
0.9578150781296648,0.8256996366133867,0.09051994677942996,LL
0.9524777647240606,0.0026719005288781184,0.039472445685945434,Nominal
0.9743102041090935,0.7223979065165341,0.7289815459432518,SLG
0.9517144512187239,0.43730355734514226,0.5282889416270978,LLLG
0.9525721991089606,1.0272868874401209,0.8859996082618171,LLG
0.9578335011846757,0.8898532430293163,0.24931761288317303,Open_Conductor
0.9829845729505093,0.025024424268757013,0.01286284679307581,Nominal
0.9767958792279491,0.03786141307904173,0.02647027966583986,Nominal
0.9841555069857655,0.8724122943704181,1.1876902451553393,SLG
0.9736780597988044,0.04007013768353354,0.015465850563607076,LLL
0.978912349944643,0.16385448691684207,0.7264287739274545,LLLG
0.9940281440337093,0.008330039364986159,0.04507490522842251,LLL
0.9718443686696492,0.9632414858720744,0.9663449090180121,LLG
0.960242807328993,0.027832675984657086,0.030123352422390982,LLL
0.9860927932627085,0.9008476983799135,0.03845766310598747,LL
0.9609150382849532,0.9440959742352882,0.7278310125943449,LLG
0.9896165922752983,0.04543357558071856,0.03743025435040918,Nominal
0.9956792088863694,1.136226741165576,0.8407167013058985,SLG
0.9558834849834835,0.7582212958509715,0.8234719488425213,SLG
0.9792889150743165,0.7822737917558534,0.7903385568452581,LLG
0.9662737691838819,0.003972392055113328,0.013456056750721413,LLL
0.9900702872458046,0.8819151920413176,0.002253499593800712,LL
0.9696868170842786,0.8359733339720463,0.015639022856280296,LL
0.9580606028280702,1.0393876938735311,0.0341169880795036,LL
0.9961332969862656,0.7254354285139938,0.7768677720056743,LLG
0.9669476237337005,0.01284836757391924,0.018674465964841652,LLL
0.9609582808549121,1.1532129283037478,0.0804938134417974,LL
0.9823586855019089,0.039753852977612525,0.0392955937251753,LLL
0.9879703972005841,0.414263595074405,0.5139124356824561,LLLG
0.9938822268409735,1.1227096525784988,0.07669473205070221,LL
0.9733682329487723,0.0001558217927055794,0.034715970142386345,LLL
0.956870030220346,0.04740883333773075,0.010150081293159741,LLL
0.9643658389971469,1.0923740132152444,0.8360060757392962,LLG
0.9711104754634106,0.028108809053422515,0.010257404169584056,LLL
0.976763861945829,1.1981990080542868,0.06483526100504615,LL
0.9798272730720965,0.8242645067808807,0.9437035084106542,LLG
0.9645470037306816,0.7301857103815992,0.9170545198059152,SLG
0.9559439115654451,1.0659952533789199,0.960093067851324,LLG
0.99820079637946,0.010786576753324801,0.04889656741251337,Nominal
0.9559537882434729,1.155284044846982,0.9941781145206494,SLG
0.9904373075655853,0.18542731215004912,0.6842369757446103,LLLG
0.98193244655134,0.7193095073835153,0.3240063315391894,Open_Conductor
0.9854621692111436,1.0806609399397724,0.004355705814916344,LL
0.9600346171853126,1.0670283086751902,0.059207028317123045,LL
0.9755973588867431,0.04719210839569422,0.01667105377693053,Nominal
0.9685543280388514,0.3720496534351574,0.6069724303949044,LLLG
0.9930272375851581,0.8470719575850084,0.04223768530336419,LL
0.9569197933916761,0.8680120748148621,0.804650489542924,SLG
0.9904697792483834,0.8306413963661986,0.07045943914053383,LL
0.9837301126166307,0.8789628377429252,0.8812648235203638,LLG
0.9620521873753923,0.8869909048635809,0.4325148485108822,Open_Conductor
0.951638232403826,0.018728267282457977,0.014318781268055025,LLL
0.960200938562636,0.6464658057886511,0.2720831235439218,Open_Conductor
0.9884186782491713,0.0069052732545699,0.020062297569702743,LLL
0.9566912639500013,1.14291712387074,1.1729725818093906,SLG
0.9741255123155903,0.3258041493136566,0.5363869574548893,LLLG
0.959997223956828,0.049095017148778786,0.0028827595569456965,LLL
0.9601326498432935,0.6481835074478823,0.34099065034760934,Open_Conductor
0.992207318819067,0.024460410910006426,0.04452584346431944,LLL
0.9673685832719743,0.937261194882074,0.9457737154039773,LLG
0.9663157759252377,0.7214238580338128,0.7006972976134447,LLG
0.9865479811545771,0.04080487370150602,0.04332165478304592,LLL
0.9779275292541985,0.9258251961672713,0.03266561300072292,LL
